상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,resident_pop_2024_high10,resident_pop_2024_high50,floating_pop_2024_high25,floating_pop_2024_high10,floating_pop_2024_high50,estimated_sales_2024_high25,estimated_sales_2024_high10,estimated_sales_2024_high50,is_active_25,is_active_10,is_active_50,상권_코드_명
3110201,11070,3385003,1210646517,False,False,False,False,False,False,False,False,False,False,False,False,전농119안전센터
3110202,27610,13062091,866936551,False,False,False,False,False,False,False,False,False,False,False,False,전농1동주민센터(전농시장)
3110203,38768,19491728,4066987461,False,False,True,False,False,True,False,False,False,False,False,False,떡전교사거리
3110204,75482,33468008,45000545400,True,False,True,True,False,True,False,False,True,True,False,True,간데메공원
3110205,56022,48756863,23992984088,False,False,True,True,True,True,False,False,True,False,False,True,경희대삼거리
3110206,82086,36855635,9031211819,True,False,True,True,False,True,False,False,False,True,False,False,텃골근린공원
3110207,20072,14791314,4002401353,False,False,False,False,False,False,False,False,False,False,False,False,시립대앞사거리
3110208,18760,9341934,309816502,False,False,False,False,False,False,False,False,False,False,False,False,시조사삼거리
3110209,14912,9241736,149591922,False,False,False,False,False,False,False,False,False,False,False,False,답십리 장령당공원
3110210,80534,56344346,16320182347,True,False,True,True,True,True,False,False,False,True,False,False,서울시립대
3110211,77776,59735143,14691362001,True,False,True,True,True,True,False,False,False,True,False,False,전곡마을마당공원
3110212,48730,22799474,16256824583,False,False,True,False,False,True,False,False,False,False,False,False,답십리초등학교
3110213,18172,12443283,519101070,False,False,False,False,False,False,False,False,False,False,False,False,청량초등학교
3110214,59370,36143812,11577649748,False,False,True,True,False,True,False,False,False,False,False,False,경희대후문
3110215,45230,19614614,2792921594,False,False,True,False,False,True,False,False,False,False,False,False,회기역 1번
3110216,25412,9413095,16516149179,False,False,False,False,False,False,False,False,False,False,False,False,전농중학교
3110217,12764,14132016,1193154881,False,False,False,False,False,False,False,False,False,False,False,False,자동차부품상가
3110218,55186,29984099,33176411253,False,False,True,True,False,True,False,False,True,False,False,True,답십리사거리
3110219,155012,40851406,47360551621,True,True,True,True,False,True,False,False,True,True,False,True,삼육보건대학교
3110220,43814,32548780,55425097589,False,False,True,True,False,True,True,False,True,True,False,True,외대앞역 1번
3110221,22758,7965534,3117062214,False,False,False,False,False,False,False,False,False,False,False,False,의릉
3110222,3308,1213115,165000000,False,False,False,False,False,False,False,False,False,False,False,False,회기역 2번
3110223,35714,9442151,1239777834,False,False,False,False,False,False,False,False,False,False,False,False,군자초등학교
3110224,19768,15326525,13805180717,False,False,False,False,False,True,False,False,False,False,False,False,외대앞역 2번
3110225,27028,10372312,9395633926,False,False,False,False,False,False,False,False,False,False,False,False,촬영소사거리
3110226,236054,71112813,183307580737,True,True,True,True,True,True,True,True,True,True,True,True,장안1동주민센터
3110227,18322,13184114,14447002549,False,False,False,False,False,False,False,False,False,False,False,False,답십리공원
3110228,117252,41700166,46176552907,True,False,True,True,False,True,False,False,True,True,False,True,장안근린공원
3110229,159544,42558826,105453483543,True,True,True,True,False,True,True,False,True,True,False,True,장평중학교
3110230,77384,25354242,24207946982,True,False,True,False,False,True,False,False,True,False,False,True,장안현대홈타운1차아파트
3110232,70352,19256350,101534913025,False,False,True,False,False,True,True,False,True,False,False,True,동대부고
3110233,114110,35703830,17665463812,True,False,True,True,False,True,False,False,True,True,False,True,중랑역 1번
3110234,16942,8954526,8794810116,False,False,False,False,False,False,False,False,False,False,False,False,중랑역 4번
3110236,175906,48581485,11424835600,True,True,True,True,True,True,False,False,False,True,True,False,신묵초등학교
3110237,93692,26340228,45247094709,True,False,True,False,False,True,False,False,True,False,False,True,메가박스 상봉
3110238,30692,3780035,37695228,False,False,False,False,False,False,False,False,False,False,False,False,배꽃어린이공원
3110239,5752,4285845,3481320132,False,False,False,False,False,False,False,False,False,False,False,False,중랑역 2번
3110240,28514,16673876,24008694181,False,False,False,False,False,True,False,False,True,False,False,False,태릉시장 특화거리
3110241,64424,28673401,55671524267,False,False,True,False,False,True,True,False,True,False,False,True,먹골역 5번
3110242,92504,17464614,5255025849,True,False,True,False,False,True,False,False,False,False,False,False,면목5동주민센터
3110243,101484,24786369,28811831959,True,False,True,False,False,True,False,False,True,False,False,True,중랑노인종합복지관
3110244,35038,24418512,42237652674,False,False,False,False,False,True,False,False,True,False,False,False,중화역 4번
3110245,49714,13600456,6688747722,False,False,True,False,False,False,False,False,False,False,False,False,KB국민은행 중화동지점
3110246,63018,31380431,10767413955,False,False,True,True,False,True,False,False,False,False,False,False,월드순복음교회
3110247,131426,51101328,32266112810,True,True,True,True,True,True,False,False,True,True,True,True,먹골역 1번
3110248,35320,13351973,10056049891,False,False,False,False,False,False,False,False,False,False,False,False,먹골파출소
3110249,141244,44664508,58562585698,True,True,True,True,False,True,True,False,True,True,False,True,중화역 1번
3110250,32868,13855953,4000297811,False,False,False,False,False,False,False,False,False,False,False,False,화랑대역 7번
3110251,87980,20124344,7214573665,True,False,True,False,False,True,False,False,False,False,False,False,장안중학교
3110252,100018,23660401,35987440480,True,False,True,False,False,True,False,False,True,False,False,True,장안제일시장
3110253,72880,21803509,14444027725,False,False,True,False,False,True,False,False,False,False,False,False,중곡초등학교
3110254,156506,86503775,38980435575,True,True,True,True,True,True,False,False,True,True,True,True,오거리공원
3110255,136218,60180115,40432157130,True,True,True,True,True,True,False,False,True,True,True,True,상봉역 4번
3110256,175382,39541992,35440180253,True,True,True,True,False,True,False,False,True,True,False,True,면목2동체육관
3110257,90658,46311346,2036581256,True,False,True,True,False,True,False,False,False,True,False,False,상봉역 7번
3110258,125880,23396007,10298295430,True,True,True,False,False,True,False,False,False,False,False,False,면동초등학교
3110259,85714,34334206,36596444252,True,False,True,True,False,True,False,False,True,True,False,True,사가정역 1번
3110260,48442,32285243,18809230766,False,False,True,True,False,True,False,False,True,False,False,True,면목역 3번
3110261,107656,39265166,9966715769,True,False,True,True,False,True,False,False,False,True,False,False,사가정역 4번
3110262,93688,42828409,52714441298,True,False,True,True,False,True,True,False,True,True,False,True,상봉역 3번
3110263,157580,42630667,9491076345,True,True,True,True,False,True,False,False,False,True,False,False,면목역 1번
3110264,212830,72352359,44653735513,True,True,True,True,True,True,False,False,True,True,True,True,면목역 2번
3110265,23192,11416830,17147688931,False,False,False,False,False,False,False,False,True,False,False,False,망우역 1번
3110266,117596,40835303,9412153227,True,False,True,True,False,True,False,False,False,True,False,False,면목동우체국
3110267,97828,37699248,17969832588,True,False,True,True,False,True,False,False,True,True,False,True,망우역 2번
3110268,56938,15634674,6431484963,False,False,True,False,False,True,False,False,False,False,False,False,망우3동주민센터
3110269,32586,13119415,8099395329,False,False,False,False,False,False,False,False,False,False,False,False,용마문화복지센터
